"","Time","X1","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","pair_num","target_freq","distractor_freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","Prop_cs","DELE.MELICET_cs","Bins_cs","dominance_cat"
"11",620,12400,"p28",0.673913043,"S","HT",12,5.737,1.099,620,2,7,20,0.35,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-3.51550155279347,-0.152394579169387,-1.67692980419354,"EngDom"
"12",620,740,"p02",0.708333333,"S","HT",28,5.787,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0552956625980115,-1.67692980419354,"SpDom"
"13",620,6694,"p16",0.553191489,"CS","HT",28,5.303,1.609,620,2,8,20,0.4,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-3.22255582841371,-0.880822164666081,-1.67692980419354,"EngDom"
"14",620,1471,"p04",0.918918919,"CS","HT",26,4.025,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.3259581488545,-1.67692980419354,"SpDom"
"15",620,2201,"p05",0.954545455,"S","HT",22,5.68,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.54092681632287,-1.67692980419354,"SpDom"
"16",620,8762,"p20",0.446808511,"S","HT",14,5.017,1.946,620,1,4,20,0.2,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-4.39433872593276,-1.52273152745053,-1.67692980419354,"EngDom"
"17",620,17,"p01",0.744186047,"CS","HT",3,5.1,2.303,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"18",620,9858,"p23",0.520833333,"CS","HT",19,4.394,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.07606959700286,-1.67692980419354,"EngDom"
"19",620,8400,"p19",0.604651163,"S","HT",8,4.796,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.570317165018156,-1.67692980419354,"EngDom"
"20",620,1113,"p03",0.857142857,"CS","LT",28,1.609,5.303,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.9532045999385,-1.67692980419354,"SpDom"
"21",620,1599,"p04",0.918918919,"CS","LT",2,0.693,4.127,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.3259581488545,-1.67692980419354,"SpDom"
"22",620,10955,"p25",0.71,"CS","LT",15,0.693,4.29,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"23",620,6583,"p15",0.782608696,"CS","LT",32,0.693,5.298317367,620,2,12,20,0.6,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-2.05077293089467,0.503469344424378,-1.67692980419354,"SpDom"
"24",620,13144,"p31",0.975609756,"CS","LT",30,1.792,7.396,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.66802771429181,-1.67692980419354,"SpDom"
"25",620,6949,"p16",0.553191489,"S","HT",10,5.017,1.792,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.880822164666081,-1.67692980419354,"EngDom"
"26",620,3670,"p08",0.70212766,"CS","LT",3,2.303,5.1,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0178509540932485,-1.67692980419354,"SpDom"
"27",620,3307,"p07",0.714285714,"S","HT",6,4.159,2.197,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
"28",620,4036,"p09",0.642857143,"CS","HT",2,4.127,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"29",620,8046,"p18",0.583333333,"S","HT",31,4.277,1.946,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"30",620,2580,"p06",0.880952381,"CS","LT",21,2.303,5.858,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.09687003087841,-1.67692980419354,"SpDom"
"31",620,1488,"p04",0.918918919,"CS","HT",28,5.303,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.3259581488545,-1.67692980419354,"SpDom"
"32",620,2218,"p05",0.954545455,"S","HT",23,4.99,2.197,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.54092681632287,-1.67692980419354,"SpDom"
"33",620,12420,"p28",0.673913043,"S","HT",13,4.394,2.303,620,2,14,20,0.7,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-1.46488148213515,-0.152394579169387,-1.67692980419354,"EngDom"
"34",620,11088,"p25",0.71,"S","HT",23,4.99,2.197,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"35",620,35,"p01",0.744186047,"CS","HT",4,4.984,1.945910149,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"36",620,400,"p01",0.744186047,"S","LT",29,2.303,5.303,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"37",620,8783,"p20",0.446808511,"S","HT",16,5.182,1.386,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.52273152745053,-1.67692980419354,"EngDom"
"38",620,9878,"p23",0.520833333,"CS","HT",20,4.344,1.099,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.07606959700286,-1.67692980419354,"EngDom"
"39",620,11700,"p27",1.025,"CS","HT",18,4.984,1.609,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.96604588082413,-1.67692980419354,"SpDom"
"40",620,1133,"p03",0.857142857,"CS","LT",29,2.079,5.094,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.9532045999385,-1.67692980419354,"SpDom"
"41",620,10973,"p25",0.71,"CS","LT",16,1.099,4.762,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"42",620,6602,"p15",0.782608696,"S","HT",4,4.828,2.197224577,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.503469344424378,-1.67692980419354,"SpDom"
"43",620,7696,"p18",0.583333333,"CS","HT",11,4.762,1.099,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"44",620,4417,"p09",0.642857143,"S","LT",25,0.693,4.682,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"45",620,5510,"p11",0.5,"S","LT",11,1.792,4.754,620,2,2,20,0.1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-4.98023017469228,-1.2017768460583,-1.67692980419354,"EngDom"
"46",620,5876,"p12",0.409090909,"CS","LT",8,1.099,4.635,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.75031757853454,-1.67692980419354,"EngDom"
"47",620,3327,"p07",0.714285714,"S","HT",7,4.7,1.724,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
"48",620,11344,"p26",0.795454545,"CS","LT",17,1.946,5.553,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.580980529963997,-1.67692980419354,"SpDom"
"49",620,777,"p02",0.708333333,"S","HT",30,7.584,1.099,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0552956625980115,-1.67692980419354,"SpDom"
"50",620,5516,"p11",0.5,"S","LT",13,2.303,4.394,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.2017768460583,-1.67692980419354,"EngDom"
"51",620,3695,"p08",0.70212766,"CS","LT",5,1.609,5.333,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0178509540932485,-1.67692980419354,"SpDom"
"52",620,52,"p01",0.744186047,"CS","HT",5,5.333,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"53",620,9160,"p21",0.777777778,"S","LT",26,1.099,4.454,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.474319836172749,-1.67692980419354,"SpDom"
"54",620,418,"p01",0.744186047,"S","LT",30,1.099,7.584,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"55",620,8801,"p20",0.446808511,"S","LT",17,1.792,6.498,620,2,14,20,0.7,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-1.46488148213515,-1.52273152745053,-1.67692980419354,"EngDom"
"56",620,12081,"p27",1.025,"S","LT",14,1.946,5.017,620,1,2,20,0.1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-4.98023017469228,1.96604588082413,-1.67692980419354,"SpDom"
"57",620,9897,"p23",0.520833333,"CS","HT",21,5.858,2.303,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.07606959700286,-1.67692980419354,"EngDom"
"58",620,6982,"p16",0.553191489,"S","HT",12,5.737,1.099,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.880822164666081,-1.67692980419354,"EngDom"
"59",620,10627,"p24",0.642857143,"S","HT",16,5.182,1.386,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"60",620,13180,"p31",0.975609756,"CS","LT",32,0.693,5.298317367,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.66802771429181,-1.67692980419354,"SpDom"
"61",620,10993,"p25",0.71,"S","HT",17,6.498,1.792,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"62",620,2248,"p05",0.954545455,"S","LT",25,0.693,4.682,620,1,6,20,0.3,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-3.80844727717324,1.54092681632287,-1.67692980419354,"SpDom"
"63",620,7716,"p18",0.583333333,"CS","HT",12,4.605,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"64",620,6624,"p15",0.782608696,"S","LT",16,1.386,5.182,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.503469344424378,-1.67692980419354,"SpDom"
"65",620,11361,"p26",0.795454545,"CS","LT",18,1.609,4.984,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.580980529963997,-1.67692980419354,"SpDom"
"66",620,5896,"p12",0.409090909,"S","HT",9,4.419,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.75031757853454,-1.67692980419354,"EngDom"
"67",620,3347,"p07",0.714285714,"S","HT",8,4.796,1.386,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
"68",620,12094,"p27",1.025,"S","LT",15,1.386,5.257,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.96604588082413,-1.67692980419354,"SpDom"
"69",620,3713,"p08",0.70212766,"CS","LT",6,1.609,4.431,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0178509540932485,-1.67692980419354,"SpDom"
"70",620,70,"p01",0.744186047,"CS","HT",6,4.431,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"71",620,4808,"p10",0.477272727,"S","HT",26,4.454,1.099,620,1,10,20,0.5,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-2.63666437965419,-1.33891203068585,-1.67692980419354,"EngDom"
"72",620,9180,"p21",0.777777778,"S","LT",27,1.099,4.007,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.474319836172749,-1.67692980419354,"SpDom"
"73",620,5174,"p11",0.5,"CS","HT",24,5.215,1.609,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.2017768460583,-1.67692980419354,"EngDom"
"74",620,6267,"p14",0.625,"CS","LT",19,0.693,4.394,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.447533339657725,-1.67692980419354,"EngDom"
"75",620,9915,"p23",0.520833333,"CS","HT",22,6.084,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.07606959700286,-1.67692980419354,"EngDom"
"76",620,7850,"p18",0.583333333,"CS","LT",20,1.099,4.344,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"77",620,10645,"p24",0.642857143,"S","LT",17,1.792,6.498,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"78",620,13198,"p31",0.975609756,"S","HT",1,5.136,1.946,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.66802771429181,-1.67692980419354,"SpDom"
"79",620,9553,"p22",0.714285714,"S","HT",25,4.682,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
"80",620,1173,"p03",0.857142857,"CS","LT",31,1.099,4.407,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.9532045999385,-1.67692980419354,"SpDom"
"81",620,2631,"p06",0.880952381,"CS","LT",24,1.609,5.215,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.09687003087841,-1.67692980419354,"SpDom"
"82",620,2268,"p05",0.954545455,"S","LT",26,1.099,4.454,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.54092681632287,-1.67692980419354,"SpDom"
"83",620,1904,"p04",0.918918919,"S","LT",21,1.386,6.397,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.3259581488545,-1.67692980419354,"SpDom"
"84",620,6644,"p16",0.553191489,"CS","HT",25,3.989,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.880822164666081,-1.67692980419354,"EngDom"
"85",620,4457,"p09",0.642857143,"S","LT",27,1.099,4.007,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.339784266452793,-1.67692980419354,"EngDom"
"86",620,12112,"p27",1.025,"S","LT",16,1.386,5.182,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.96604588082413,-1.67692980419354,"SpDom"
"87",620,3367,"p07",0.714285714,"S","LT",9,0.693,4.419,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0912120203329887,-1.67692980419354,"SpDom"
"88",620,8834,"p21",0.777777778,"CS","HT",1,4.477,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.474319836172749,-1.67692980419354,"SpDom"
"89",620,453,"p02",0.708333333,"CS","HT",9,4.205,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0552956625980115,-1.67692980419354,"SpDom"
"90",620,90,"p01",0.744186047,"CS","HT",7,4.043,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"91",620,5192,"p11",0.5,"CS","LT",25,0.693,3.989,620,2,9,20,0.45,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-2.92961010403395,-1.2017768460583,-1.67692980419354,"EngDom"
"92",620,213,"p01",0.744186047,"CS","LT",15,0.693,4.29,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.271629076368709,-1.67692980419354,"SpDom"
"93",620,9933,"p23",0.520833333,"CS","HT",23,5.22,2.197,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-1.07606959700286,-1.67692980419354,"EngDom"
"94",620,11391,"p26",0.795454545,"CS","LT",20,1.099,4.344,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.580980529963997,-1.67692980419354,"SpDom"
"95",620,7748,"p18",0.583333333,"CS","HT",14,4.489,1.792,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.698947843802567,-1.67692980419354,"EngDom"
"96",620,6656,"p16",0.553191489,"CS","HT",26,4.025,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,-0.880822164666081,-1.67692980419354,"EngDom"
"97",620,13338,"p31",0.975609756,"S","LT",11,1.792,4.754,620,1,7,20,0.35,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-3.51550155279347,1.66802771429181,-1.67692980419354,"SpDom"
"98",620,13218,"p31",0.975609756,"S","HT",3,4.094,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.66802771429181,-1.67692980419354,"SpDom"
"99",620,2649,"p06",0.880952381,"S","HT",25,4.682,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.09687003087841,-1.67692980419354,"SpDom"
"100",620,1193,"p03",0.857142857,"CS","LT",32,0.693,5.298317367,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.9532045999385,-1.67692980419354,"SpDom"
"101",620,11034,"p25",0.71,"S","HT",20,4.654,1.386,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,0.0653522446946683,-1.67692980419354,"SpDom"
"102",620,2288,"p05",0.954545455,"S","LT",27,1.099,4.007,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.292792864143409,1.54092681632287,-1.67692980419354,"SpDom"
